record_id,source,stream,pmid,doi,title,year,url,dedup_basis
R0001,PubMed,pain_ml,27885969,10.1186/s13054-016-1208-6,"36th International Symposium on Intensive Care and Emergency Medicine : Brussels, Belgium. 15-18 March 2016.",2016,https://pubmed.ncbi.nlm.nih.gov/27885969/,DOI -> PMID -> normalized title
R0002,PubMed,scs,35041590,10.1111/ner.13510,A Clinical Feasibility Study of Spinal Evoked Compound Action Potential Estimation Methods.,2022,https://pubmed.ncbi.nlm.nih.gov/35041590/,DOI -> PMID -> normalized title
R0003,PubMed,pain_ml,38139521,10.3390/s23249675,A Comprehensive Study on Pain Assessment from Multimodal Sensor Data.,2023,https://pubmed.ncbi.nlm.nih.gov/38139521/,DOI -> PMID -> normalized title
R0004,PubMed,pain_ml,40100883,10.1371/journal.pone.0315343,A comprehensive survey and comparative analysis of time series data augmentation in medical wearable computing.,2025,https://pubmed.ncbi.nlm.nih.gov/40100883/,DOI -> PMID -> normalized title
R0005,PubMed,pain_ml,40796769,10.1038/s41598-025-14238-y,A CrossMod-Transformer deep learning framework for multi-modal pain detection through EDA and ECG fusion.,2025,https://pubmed.ncbi.nlm.nih.gov/40796769/,DOI -> PMID -> normalized title
R0006,PubMed,pain_ml,40164059,10.1097/cin.0000000000001302,A Deep Learning Approach for Infant Pain Assessment Using Facial Expressions Through Convolutional Neural Network.,2025,https://pubmed.ncbi.nlm.nih.gov/40164059/,DOI -> PMID -> normalized title
R0007,PubMed,pain_ml,29546805,10.1177/1744806918763658,A deep neural network to assess spontaneous pain from mouse facial expressions.,2018,https://pubmed.ncbi.nlm.nih.gov/29546805/,DOI -> PMID -> normalized title
R0008,PubMed,pain_ml,40006452,10.3390/s25041223,A Multimodal Pain Sentiment Analysis System Using Ensembled Deep Learning Approaches for IoT-Enabled Healthcare Framework.,2025,https://pubmed.ncbi.nlm.nih.gov/40006452/,DOI -> PMID -> normalized title
R0009,PubMed,pain_ml,40096220,10.3390/s25051436,A Novel Framework for Quantum-Enhanced Federated Learning with Edge Computing for Advanced Pain Assessment Using ECG Signals via Continuous Wavelet Transform Images.,2025,https://pubmed.ncbi.nlm.nih.gov/40096220/,DOI -> PMID -> normalized title
R0010,PubMed,scs,35088735,10.1016/j.neurom.2021.11.014,A Prospective Multicenter Case Series Utilizing Intraoperative Neuromonitoring With Evoked Compound Action Potentials to Confirm Spinal Cord Stimulation Lead Placement.,2022,https://pubmed.ncbi.nlm.nih.gov/35088735/,DOI -> PMID -> normalized title
R0011,PubMed,scs,39453291,10.1016/j.neurom.2024.08.005,A Prospective Single-center Pilot Study on the Use of Closed-loop Spinal Cord Stimulation to Treat Chronic Pain Associated With Raynaud's Phenomenon.,2024,https://pubmed.ncbi.nlm.nih.gov/39453291/,DOI -> PMID -> normalized title
R0012,PubMed,pain_ml,41153333,10.3390/diagnostics15202661,A Public Health Approach to Automated Pain Intensity Recognition in Chest Pain Patients via Facial Expression Analysis for Emergency Care Prioritization.,2025,https://pubmed.ncbi.nlm.nih.gov/41153333/,DOI -> PMID -> normalized title
R0013,PubMed,pain_ml,37106687,10.3390/bioengineering10040500,A Review of Voice-Based Pain Detection in Adults Using Artificial Intelligence.,2023,https://pubmed.ncbi.nlm.nih.gov/37106687/,DOI -> PMID -> normalized title
R0014,PubMed,pain_ml,40271647,10.1097/aco.0000000000001508,"A roadmap for artificial intelligence in pain medicine: current status, opportunities, and requirements.",2025,https://pubmed.ncbi.nlm.nih.gov/40271647/,DOI -> PMID -> normalized title
R0015,PubMed,pain_ml,38231823,10.1109/tbme.2024.3355215,A Spatiotemporal Deep Learning Framework for Scalp EEG-Based Automated Pain Assessment in Children.,2024,https://pubmed.ncbi.nlm.nih.gov/38231823/,DOI -> PMID -> normalized title
R0016,previous evidence map,seed_evidence_map,NR,10.1145/3737281,"A Systematic Review of Multimodal Signal Fusion for Acute Pain Assessment Systems / M. U. Khan, G. Chetty, R. Goecke [et al.]",,https://dl.acm.org/doi/10.1145/3737281,DOI -> PMID -> normalized title
R0017,PubMed; previous evidence map,pain_ml; seed_evidence_map,37100924,10.1038/s41746-023-00810-1,A systematic review of neurophysiological sensing for the assessment of acute pain.,2023,https://pubmed.ncbi.nlm.nih.gov/37100924/,DOI -> PMID -> normalized title
R0018,PubMed,pain_ml,29946251,10.3389/fnagi.2018.00117,A Technical Note on the PainChek™ System: A Web Portal and Mobile Medical Device for Assessing Pain in People With Dementia.,2018,https://pubmed.ncbi.nlm.nih.gov/29946251/,DOI -> PMID -> normalized title
R0019,PubMed,scs,37972595,10.1016/j.neuron.2023.10.021,Absence of paresthesia during high-rate spinal cord stimulation reveals importance of synchrony for sensations evoked by electrical stimulation.,2024,https://pubmed.ncbi.nlm.nih.gov/37972595/,DOI -> PMID -> normalized title
R0020,PubMed,scs,35878817,10.1016/j.expneurol.2022.114178,Activity-dependent plasticity and spinal cord stimulation for motor recovery following spinal cord injury.,2022,https://pubmed.ncbi.nlm.nih.gov/35878817/,DOI -> PMID -> normalized title
R0021,PubMed,pain_ml,40039359,10.1109/embc53108.2024.10781616,Acute Pain Recognition from Facial Expression Videos using Vision Transformers.,2024,https://pubmed.ncbi.nlm.nih.gov/40039359/,DOI -> PMID -> normalized title
R0022,PubMed,scs,40652630,10.1016/j.sleep.2025.106664,"Adaptive spinal cord stimulation improves restless legs syndrome: Case report, literature review, and mechanistic hypothesis.",2025,https://pubmed.ncbi.nlm.nih.gov/40652630/,DOI -> PMID -> normalized title
R0023,PubMed,scs,30625000,10.1080/17434440.2019.1567325,"Advanced methods of spinal stimulation in the treatment of chronic pain: pulse trains, waveforms, frequencies, targets, and feedback loops.",2019,https://pubmed.ncbi.nlm.nih.gov/30625000/,DOI -> PMID -> normalized title
R0024,PubMed,scs,41681083,10.1080/14737175.2026.2632285,Advances in targeted closed loop spinal cord stimulation to treat pain of the trunk and limbs.,2026,https://pubmed.ncbi.nlm.nih.gov/41681083/,DOI -> PMID -> normalized title
R0025,PubMed,scs,24974775,10.1111/ner.12170,Advancing neuromodulation through control systems: a general framework and case study in posture-responsive stimulation.,2014,https://pubmed.ncbi.nlm.nih.gov/24974775/,DOI -> PMID -> normalized title
R0026,PubMed,pain_ml,39097739,10.1186/s12904-024-01526-z,Advancing the integration of biosignal-based automated pain assessment methods into a comprehensive model for addressing cancer pain.,2024,https://pubmed.ncbi.nlm.nih.gov/39097739/,DOI -> PMID -> normalized title
R0027,PubMed,pain_ml,41366265,10.1038/s41598-025-27404-z,Agreement of Feline Grimace Scale scores between chatbots and an expert rater.,2025,https://pubmed.ncbi.nlm.nih.gov/41366265/,DOI -> PMID -> normalized title
R0028,PubMed,pain_ml,41930234,10.3389/fpain.2026.1752958,AI applications across the cancer pain care Continuum: applications and future directions.,2026,https://pubmed.ncbi.nlm.nih.gov/41930234/,DOI -> PMID -> normalized title
R0029,PubMed,pain_ml,42558820,10.3389/fped.2026.1784197,AI-Driven vision large language framework for pediatric pain assessment.,2026,https://pubmed.ncbi.nlm.nih.gov/42558820/,DOI -> PMID -> normalized title
R0030,PubMed,pain_ml,39788578,10.22514/jofph.2024.008,An accurately supervised motion-aware deep network for non-contact pain assessment of trigeminal neuralgia mouse model.,2024,https://pubmed.ncbi.nlm.nih.gov/39788578/,DOI -> PMID -> normalized title
R0031,PubMed,pain_ml,39845012,10.1016/j.heliyon.2024.e41558,An AI recognition method for children's clinical operative pain by skin potential (SP) signal.,2025,https://pubmed.ncbi.nlm.nih.gov/39845012/,DOI -> PMID -> normalized title
R0032,PubMed,pain_ml,33018277,10.1109/embc44109.2020.9176644,An Autoencoder-based Approach to Predict Subjective Pain Perception from High-density Evoked EEG Potentials.,2020,https://pubmed.ncbi.nlm.nih.gov/33018277/,DOI -> PMID -> normalized title
R0033,PubMed; previous evidence map,pain_ml; seed_evidence_map,39333541,10.1038/s41597-024-03878-w,An Experimental and Clinical Physiological Signal Dataset for Automated Pain Recognition.,2024,https://pubmed.ncbi.nlm.nih.gov/39333541/,DOI -> PMID -> normalized title
R0034,previous evidence map,seed_evidence_map,23574118,10.1056/nejmoa1204471,"An fMRI-Based Neurologic Signature of Physical Pain / T. D. Wager, L. Y. Atlas, M. A. Lindquist [et al.]",,https://pubmed.ncbi.nlm.nih.gov/23574118/,DOI -> PMID -> normalized title
R0035,PubMed,pain_ml,41251282,10.1111/joor.70108,An Interpretable Machine Learning Model Based on MRI Features for Predicting Pain Severity in Temporomandibular Disorders.,2026,https://pubmed.ncbi.nlm.nih.gov/41251282/,DOI -> PMID -> normalized title
R0036,PubMed,pain_ml,36994457,10.1002/jsp2.1230,An update on animal models of intervertebral disc degeneration and low back pain: Exploring the potential of artificial intelligence to improve research analysis and development of prospective therapeutics.,2023,https://pubmed.ncbi.nlm.nih.gov/36994457/,DOI -> PMID -> normalized title
R0037,PubMed,pain_ml,42514252,10.3390/life16071185,"Analgosedation in Neonatal Intensive Care: Current Strategies, Challenges, and Future Perspectives.",2026,https://pubmed.ncbi.nlm.nih.gov/42514252/,DOI -> PMID -> normalized title
R0038,PubMed,pain_ml,37104439,10.3390/vetsci10040283,Analysis of Various Facial Expressions of Horses as a Welfare Indicator Using Deep Learning.,2023,https://pubmed.ncbi.nlm.nih.gov/37104439/,DOI -> PMID -> normalized title
R0039,PubMed,pain_ml,38199191,10.1016/j.ijmedinf.2023.105337,Application of a human-centered design for embedded machine learning model to develop data labeling software with nurses: Human-to-Artificial Intelligence (H2AI).,2024,https://pubmed.ncbi.nlm.nih.gov/38199191/,DOI -> PMID -> normalized title
R0040,PubMed; previous evidence map,pain_ml; seed_evidence_map,38607660,10.2196/51250,Application of AI in Multilevel Pain Assessment Using Facial Images: Systematic Review and Meta-Analysis.,2024,https://pubmed.ncbi.nlm.nih.gov/38607660/,DOI -> PMID -> normalized title
R0041,PubMed,pain_ml,40516197,10.1016/j.jclinane.2025.111898,Application of deep learning-based facial pain recognition model for postoperative pain assessment.,2025,https://pubmed.ncbi.nlm.nih.gov/40516197/,DOI -> PMID -> normalized title
R0042,PubMed,pain_ml,41924082,10.2147/jpr.s578721,Application of Intelligent Neonatal Pain Assessment Tools Based on Multimodal Data Fusion: A Systematic Review.,2026,https://pubmed.ncbi.nlm.nih.gov/41924082/,DOI -> PMID -> normalized title
R0043,PubMed,scs,42032954,10.11817/j.issn.1672-7347.2026.250554,[Application of support vector machine in identifying neuromodulation states in patients with zoster-associated pain].,2026,https://pubmed.ncbi.nlm.nih.gov/42032954/,DOI -> PMID -> normalized title
R0044,PubMed,pain_ml,39338237,10.3390/jpm14090983,Artificial Intelligence-Driven Diagnostic Processes and Comprehensive Multimodal Models in Pain Medicine.,2024,https://pubmed.ncbi.nlm.nih.gov/39338237/,DOI -> PMID -> normalized title
R0045,PubMed,pain_ml,37416623,10.1155/2023/6018736,Artificial Intelligence for Automatic Pain Assessment: Research Methods and Perspectives.,2023,https://pubmed.ncbi.nlm.nih.gov/37416623/,DOI -> PMID -> normalized title
R0046,PubMed,pain_ml; scs,42277490,10.1007/s11916-026-01517-0,Artificial Intelligence in Neuropathic Pain: From Mechanisms to Neuromodulation and Regenerative Strategies.,2026,https://pubmed.ncbi.nlm.nih.gov/42277490/,DOI -> PMID -> normalized title
R0047,PubMed,pain_ml,42160993,10.1016/j.artmed.2026.103455,Artificial intelligence in pain assessment and management for older adults: A scoping review.,2026,https://pubmed.ncbi.nlm.nih.gov/42160993/,DOI -> PMID -> normalized title
R0048,PubMed,pain_ml,42243763,10.1186/s12911-026-03571-5,Artificial intelligence in pediatric pain: a systematic review.,2026,https://pubmed.ncbi.nlm.nih.gov/42243763/,DOI -> PMID -> normalized title
R0049,PubMed,pain_ml,37205356,10.21203/rs.3.pex-2191/v1,Assessment of gait in mice using simplified analysis tools.,2023,https://pubmed.ncbi.nlm.nih.gov/37205356/,DOI -> PMID -> normalized title
R0050,PubMed; 2026 evidence-map update,2026_update; pain_ml,41983382,10.1111/nicc.70478,Assessment of Pain Intensity Using Deep Learning Models in Non-Communicative Intensive Care Patients.,2026,https://pubmed.ncbi.nlm.nih.gov/41983382/,DOI -> PMID -> normalized title
